N	nu_0	J	eta_n	phi_pack	ftype	n_steps	dt	n_save	update_nn	fanisotropy	max_dist	date_string	filename
50	0.5	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,46,04	sphere_data_analysis_2015-08-05_18-46-04.p
50	0.5	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,48,02	sphere_data_analysis_2015-08-05_18-48-02.p
50	0.5	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,50,17	sphere_data_analysis_2015-08-05_18-50-17.p
50	0.5	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,52,12	sphere_data_analysis_2015-08-05_18-52-12.p
50	0.5	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,18,53,36	sphere_data_analysis_2015-08-05_18-53-36.p
50	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,18,55,39	sphere_data_analysis_2015-08-05_18-55-39.p
50	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,18,57,42	sphere_data_analysis_2015-08-05_18-57-42.p
50	0.5	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,18,59,43	sphere_data_analysis_2015-08-05_18-59-43.p
50	0.5	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,01,10	sphere_data_analysis_2015-08-05_19-01-10.p
50	0.5	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,03,12	sphere_data_analysis_2015-08-05_19-03-12.p
50	0.5	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,05,19	sphere_data_analysis_2015-08-05_19-05-19.p
50	0.5	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,07,20	sphere_data_analysis_2015-08-05_19-07-20.p
50	0.5	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,09,13	sphere_data_analysis_2015-08-05_19-09-13.p
50	0.5	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,11,18	sphere_data_analysis_2015-08-05_19-11-18.p
50	0.5	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,13,18	sphere_data_analysis_2015-08-05_19-13-18.p
50	0.5	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,14,55	sphere_data_analysis_2015-08-05_19-14-55.p
50	1	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,16,45	sphere_data_analysis_2015-08-05_19-16-45.p
50	1	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,18,47	sphere_data_analysis_2015-08-05_19-18-47.p
50	1	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,20,46	sphere_data_analysis_2015-08-05_19-20-46.p
50	1	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,22,41	sphere_data_analysis_2015-08-05_19-22-41.p
50	1	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,24,36	sphere_data_analysis_2015-08-05_19-24-36.p
50	1	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,26,43	sphere_data_analysis_2015-08-05_19-26-43.p
50	1	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,28,47	sphere_data_analysis_2015-08-05_19-28-47.p
50	1	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,30,40	sphere_data_analysis_2015-08-05_19-30-40.p
50	1	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,32,04	sphere_data_analysis_2015-08-05_19-32-04.p
50	1	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,34,01	sphere_data_analysis_2015-08-05_19-34-01.p
50	1	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,36,00	sphere_data_analysis_2015-08-05_19-36-00.p
50	1	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,38,06	sphere_data_analysis_2015-08-05_19-38-06.p
50	1	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,39,30	sphere_data_analysis_2015-08-05_19-39-30.p
50	1	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,41,33	sphere_data_analysis_2015-08-05_19-41-33.p
50	1	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,43,06	sphere_data_analysis_2015-08-05_19-43-06.p
50	1	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,44,30	sphere_data_analysis_2015-08-05_19-44-30.p
50	2	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,45,53	sphere_data_analysis_2015-08-05_19-45-53.p
50	2	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,47,37	sphere_data_analysis_2015-08-05_19-47-37.p
50	2	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,49,12	sphere_data_analysis_2015-08-05_19-49-12.p
50	2	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,50,35	sphere_data_analysis_2015-08-05_19-50-35.p
50	2	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,51,59	sphere_data_analysis_2015-08-05_19-51-59.p
50	2	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,19,53,57	sphere_data_analysis_2015-08-05_19-53-57.p
50	2	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,19,55,58	sphere_data_analysis_2015-08-05_19-55-58.p
50	2	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,19,57,44	sphere_data_analysis_2015-08-05_19-57-44.p
50	2	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,19,59,08	sphere_data_analysis_2015-08-05_19-59-08.p
50	2	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,01,10	sphere_data_analysis_2015-08-05_20-01-10.p
50	2	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,20,03,06	sphere_data_analysis_2015-08-05_20-03-06.p
50	2	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,20,05,11	sphere_data_analysis_2015-08-05_20-05-11.p
50	2	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,20,06,39	sphere_data_analysis_2015-08-05_20-06-39.p
50	2	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,08,36	sphere_data_analysis_2015-08-05_20-08-36.p
50	2	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,20,10,35	sphere_data_analysis_2015-08-05_20-10-35.p
50	2	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,20,12,46	sphere_data_analysis_2015-08-05_20-12-46.p
100	0.25	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,20,14,47	sphere_data_analysis_2015-08-05_20-14-47.p
100	0.25	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,18,15	sphere_data_analysis_2015-08-05_20-18-15.p
100	0.25	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,20,21,34	sphere_data_analysis_2015-08-05_20-21-34.p
100	0.25	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,20,25,06	sphere_data_analysis_2015-08-05_20-25-06.p
100	0.25	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,20,28,17	sphere_data_analysis_2015-08-05_20-28-17.p
100	0.25	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,31,40	sphere_data_analysis_2015-08-05_20-31-40.p
100	0.25	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,20,35,15	sphere_data_analysis_2015-08-05_20-35-15.p
100	0.25	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,20,38,38	sphere_data_analysis_2015-08-05_20-38-38.p
100	0.25	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,20,41,58	sphere_data_analysis_2015-08-05_20-41-58.p
100	0.25	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,45,20	sphere_data_analysis_2015-08-05_20-45-20.p
100	0.25	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,20,48,53	sphere_data_analysis_2015-08-05_20-48-53.p
100	0.25	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,20,52,21	sphere_data_analysis_2015-08-05_20-52-21.p
100	0.25	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,20,55,18	sphere_data_analysis_2015-08-05_20-55-18.p
100	0.25	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,20,58,02	sphere_data_analysis_2015-08-05_20-58-02.p
100	0.25	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,21,00,47	sphere_data_analysis_2015-08-05_21-00-47.p
100	0.25	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,21,03,42	sphere_data_analysis_2015-08-05_21-03-42.p
100	0.5	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,21,06,27	sphere_data_analysis_2015-08-05_21-06-27.p
100	0.5	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,21,09,53	sphere_data_analysis_2015-08-05_21-09-53.p
100	0.5	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,21,13,15	sphere_data_analysis_2015-08-05_21-13-15.p
100	0.5	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,21,16,49	sphere_data_analysis_2015-08-05_21-16-49.p
100	0.5	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,21,19,34	sphere_data_analysis_2015-08-05_21-19-34.p
100	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,21,23,04	sphere_data_analysis_2015-08-05_21-23-04.p
100	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,21,26,27	sphere_data_analysis_2015-08-05_21-26-27.p
100	0.5	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,21,30,04	sphere_data_analysis_2015-08-05_21-30-04.p
100	0.5	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,21,33,30	sphere_data_analysis_2015-08-05_21-33-30.p
100	0.5	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,21,36,59	sphere_data_analysis_2015-08-05_21-36-59.p
100	0.5	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,21,40,14	sphere_data_analysis_2015-08-05_21-40-14.p
100	0.5	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,21,43,47	sphere_data_analysis_2015-08-05_21-43-47.p
100	0.5	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,21,47,06	sphere_data_analysis_2015-08-05_21-47-06.p
100	0.5	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,21,50,16	sphere_data_analysis_2015-08-05_21-50-16.p
100	0.5	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,21,53,32	sphere_data_analysis_2015-08-05_21-53-32.p
100	0.5	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,21,56,25	sphere_data_analysis_2015-08-05_21-56-25.p
100	1	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,21,59,10	sphere_data_analysis_2015-08-05_21-59-10.p
100	1	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,22,02,35	sphere_data_analysis_2015-08-05_22-02-35.p
100	1	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,22,05,49	sphere_data_analysis_2015-08-05_22-05-49.p
100	1	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,22,09,37	sphere_data_analysis_2015-08-05_22-09-37.p
100	1	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,22,12,47	sphere_data_analysis_2015-08-05_22-12-47.p
100	1	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,22,16,17	sphere_data_analysis_2015-08-05_22-16-17.p
100	1	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,22,19,43	sphere_data_analysis_2015-08-05_22-19-43.p
100	1	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,22,23,16	sphere_data_analysis_2015-08-05_22-23-16.p
100	1	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,22,26,23	sphere_data_analysis_2015-08-05_22-26-23.p
100	1	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,22,29,46	sphere_data_analysis_2015-08-05_22-29-46.p
100	1	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,22,33,24	sphere_data_analysis_2015-08-05_22-33-24.p
100	1	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,22,37,03	sphere_data_analysis_2015-08-05_22-37-03.p
100	1	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,22,40,26	sphere_data_analysis_2015-08-05_22-40-26.p
100	1	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,22,43,38	sphere_data_analysis_2015-08-05_22-43-38.p
100	1	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,22,46,48	sphere_data_analysis_2015-08-05_22-46-48.p
100	1	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,22,49,32	sphere_data_analysis_2015-08-05_22-49-32.p
100	2	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,22,52,17	sphere_data_analysis_2015-08-05_22-52-17.p
100	2	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,22,55,32	sphere_data_analysis_2015-08-05_22-55-32.p
100	2	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,22,58,41	sphere_data_analysis_2015-08-05_22-58-41.p
100	2	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,05,23,01,48	sphere_data_analysis_2015-08-05_23-01-48.p
100	2	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,23,04,33	sphere_data_analysis_2015-08-05_23-04-33.p
100	2	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,23,08,04	sphere_data_analysis_2015-08-05_23-08-04.p
100	2	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,05,23,11,26	sphere_data_analysis_2015-08-05_23-11-26.p
100	2	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,05,23,14,49	sphere_data_analysis_2015-08-05_23-14-49.p
100	2	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,23,18,04	sphere_data_analysis_2015-08-05_23-18-04.p
100	2	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,23,21,36	sphere_data_analysis_2015-08-05_23-21-36.p
100	2	1	1	1	1	10000	0.005	50	 	 	 	2015,08,05,23,25,00	sphere_data_analysis_2015-08-05_23-25-00.p
100	2	1	2	1	1	10000	0.005	50	 	 	 	2015,08,05,23,28,30	sphere_data_analysis_2015-08-05_23-28-30.p
100	2	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,23,31,24	sphere_data_analysis_2015-08-05_23-31-24.p
100	2	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,23,34,11	sphere_data_analysis_2015-08-05_23-34-11.p
100	2	2	1	1	1	10000	0.005	50	 	 	 	2015,08,05,23,37,05	sphere_data_analysis_2015-08-05_23-37-05.p
100	2	2	2	1	1	10000	0.005	50	 	 	 	2015,08,05,23,39,54	sphere_data_analysis_2015-08-05_23-39-54.p
200	0.25	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,05,23,43,19	sphere_data_analysis_2015-08-05_23-43-19.p
200	0.25	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,05,23,50,08	sphere_data_analysis_2015-08-05_23-50-08.p
200	0.25	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,05,23,56,19	sphere_data_analysis_2015-08-05_23-56-19.p
200	0.25	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,06,00,02,31	sphere_data_analysis_2015-08-06_00-02-31.p
200	0.25	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,00,08,43	sphere_data_analysis_2015-08-06_00-08-43.p
200	0.25	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,00,15,07	sphere_data_analysis_2015-08-06_00-15-07.p
200	0.25	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,00,21,34	sphere_data_analysis_2015-08-06_00-21-34.p
200	0.25	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,06,00,28,00	sphere_data_analysis_2015-08-06_00-28-00.p
200	0.25	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,00,33,34	sphere_data_analysis_2015-08-06_00-33-34.p
200	0.25	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,00,39,48	sphere_data_analysis_2015-08-06_00-39-48.p
200	0.25	1	1	1	1	10000	0.005	50	 	 	 	2015,08,06,00,45,43	sphere_data_analysis_2015-08-06_00-45-43.p
200	0.25	1	2	1	1	10000	0.005	50	 	 	 	2015,08,06,00,51,58	sphere_data_analysis_2015-08-06_00-51-58.p
200	0.25	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,00,57,38	sphere_data_analysis_2015-08-06_00-57-38.p
200	0.25	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,01,03,23	sphere_data_analysis_2015-08-06_01-03-23.p
200	0.25	2	1	1	1	10000	0.005	50	 	 	 	2015,08,06,01,09,02	sphere_data_analysis_2015-08-06_01-09-02.p
200	0.25	2	2	1	1	10000	0.005	50	 	 	 	2015,08,06,01,14,39	sphere_data_analysis_2015-08-06_01-14-39.p
200	0.5	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,01,20,06	sphere_data_analysis_2015-08-06_01-20-06.p
200	0.5	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,01,26,09	sphere_data_analysis_2015-08-06_01-26-09.p
200	0.5	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,06,01,32,25	sphere_data_analysis_2015-08-06_01-32-25.p
200	0.5	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,06,01,38,34	sphere_data_analysis_2015-08-06_01-38-34.p
200	0.5	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,01,44,45	sphere_data_analysis_2015-08-06_01-44-45.p
200	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,01,50,49	sphere_data_analysis_2015-08-06_01-50-49.p
200	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,01,57,20	sphere_data_analysis_2015-08-06_01-57-20.p
200	0.5	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,06,02,03,30	sphere_data_analysis_2015-08-06_02-03-30.p
200	0.5	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,02,09,49	sphere_data_analysis_2015-08-06_02-09-49.p
200	0.5	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,02,16,23	sphere_data_analysis_2015-08-06_02-16-23.p
200	0.5	1	1	1	1	10000	0.005	50	 	 	 	2015,08,06,02,22,41	sphere_data_analysis_2015-08-06_02-22-41.p
200	0.5	1	2	1	1	10000	0.005	50	 	 	 	2015,08,06,02,28,50	sphere_data_analysis_2015-08-06_02-28-50.p
200	0.5	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,02,34,17	sphere_data_analysis_2015-08-06_02-34-17.p
200	0.5	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,02,39,53	sphere_data_analysis_2015-08-06_02-39-53.p
200	0.5	2	1	1	1	10000	0.005	50	 	 	 	2015,08,06,02,45,27	sphere_data_analysis_2015-08-06_02-45-27.p
200	0.5	2	2	1	1	10000	0.005	50	 	 	 	2015,08,06,02,50,54	sphere_data_analysis_2015-08-06_02-50-54.p
200	1	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,02,57,01	sphere_data_analysis_2015-08-06_02-57-01.p
200	1	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,03,02,28	sphere_data_analysis_2015-08-06_03-02-28.p
200	1	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,06,03,08,46	sphere_data_analysis_2015-08-06_03-08-46.p
200	1	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,06,03,14,52	sphere_data_analysis_2015-08-06_03-14-52.p
200	1	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,03,20,54	sphere_data_analysis_2015-08-06_03-20-54.p
200	1	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,03,27,20	sphere_data_analysis_2015-08-06_03-27-20.p
200	1	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,03,33,46	sphere_data_analysis_2015-08-06_03-33-46.p
200	1	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,06,03,40,12	sphere_data_analysis_2015-08-06_03-40-12.p
200	1	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,03,46,31	sphere_data_analysis_2015-08-06_03-46-31.p
200	1	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,03,53,04	sphere_data_analysis_2015-08-06_03-53-04.p
200	1	1	1	1	1	10000	0.005	50	 	 	 	2015,08,06,03,59,16	sphere_data_analysis_2015-08-06_03-59-16.p
200	1	1	2	1	1	10000	0.005	50	 	 	 	2015,08,06,04,05,43	sphere_data_analysis_2015-08-06_04-05-43.p
200	1	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,04,12,15	sphere_data_analysis_2015-08-06_04-12-15.p
200	1	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,04,17,42	sphere_data_analysis_2015-08-06_04-17-42.p
200	1	2	1	1	1	10000	0.005	50	 	 	 	2015,08,06,04,23,51	sphere_data_analysis_2015-08-06_04-23-51.p
200	1	2	2	1	1	10000	0.005	50	 	 	 	2015,08,06,04,29,57	sphere_data_analysis_2015-08-06_04-29-57.p
200	2	0.25	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,04,35,49	sphere_data_analysis_2015-08-06_04-35-49.p
200	2	0.25	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,04,41,41	sphere_data_analysis_2015-08-06_04-41-41.p
200	2	0.25	1	1	1	10000	0.005	50	 	 	 	2015,08,06,04,47,44	sphere_data_analysis_2015-08-06_04-47-44.p
200	2	0.25	2	1	1	10000	0.005	50	 	 	 	2015,08,06,04,53,52	sphere_data_analysis_2015-08-06_04-53-52.p
200	2	0.5	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,04,59,31	sphere_data_analysis_2015-08-06_04-59-31.p
200	2	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,05,05,40	sphere_data_analysis_2015-08-06_05-05-40.p
200	2	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,05,11,52	sphere_data_analysis_2015-08-06_05-11-52.p
200	2	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,06,05,17,51	sphere_data_analysis_2015-08-06_05-17-51.p
200	2	1	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,05,23,54	sphere_data_analysis_2015-08-06_05-23-54.p
200	2	1	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,05,30,14	sphere_data_analysis_2015-08-06_05-30-14.p
200	2	1	1	1	1	10000	0.005	50	 	 	 	2015,08,06,05,36,40	sphere_data_analysis_2015-08-06_05-36-40.p
200	2	1	2	1	1	10000	0.005	50	 	 	 	2015,08,06,05,43,05	sphere_data_analysis_2015-08-06_05-43-05.p
200	2	2	0.25	1	1	10000	0.005	50	 	 	 	2015,08,06,05,49,25	sphere_data_analysis_2015-08-06_05-49-25.p
200	2	2	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,05,55,35	sphere_data_analysis_2015-08-06_05-55-35.p
200	2	2	1	1	1	10000	0.005	50	 	 	 	2015,08,06,06,01,16	sphere_data_analysis_2015-08-06_06-01-16.p
200	2	2	2	1	1	10000	0.005	50	 	 	 	2015,08,06,06,06,58	sphere_data_analysis_2015-08-06_06-06-58.p
100	1	1	1	1.0	1	20000	0.005	50	 	 	 	2015,08,06,12,32,14	sphere_data_analysis_2015-08-06_12-32-14.p
100	1	1	1	1.0	1	20000	0.005	50	 	 	 	2015,08,06,15,08,58	sphere_data_analysis_2015-08-06_15-08-58.p
200	1	1	1	1.0	1	10000	0.005	50	 	 	 	2015,08,06,15,28,02	sphere_data_analysis_2015-08-06_15-28-02.p
200	1	0.25	0.25	1.0	1	10000	0.005	50	 	 	 	2015,08,06,17,09,49	sphere_data_analysis_2015-08-06_17-09-49.p
50	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,18,24,39	sphere_data_analysis_2015-08-06_18-24-39.p
50	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,18,26,12	sphere_data_analysis_2015-08-06_18-26-12.p
50	0.5	0.5	0.5	1	1	10000	0.005	50	 	 	 	2015,08,06,18,27,50	sphere_data_analysis_2015-08-06_18-27-50.p
50	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,18,29,24	sphere_data_analysis_2015-08-06_18-29-24.p
50	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,18,30,57	sphere_data_analysis_2015-08-06_18-30-57.p
50	0.5	0.5	1	1	1	10000	0.005	50	 	 	 	2015,08,06,18,32,29	sphere_data_analysis_2015-08-06_18-32-29.p
50	0.5	0.5	2	1	1	10000	0.005	50	 	 	 	2015,08,06,18,34,02	sphere_data_analysis_2015-08-06_18-34-02.p
